Order ID,Order Date,Order Mode,Customer ID,City,Postal Code,Country,Region,Product ID,Product Name,Category,Sub-Category,Sales,Cost Price,Quantity,Discount,Revenue,Profit,Margin%
BTC-245712,6/22/2024,Online,LO028977,Norton,S8,England,Yorkshire and the Humber,01JZ3N512GHNAJSF3HCCQ0PQYY,Flavored Popcorn Mix,Food - Snacks,Gourmet Snacks,2.99,0.897,4,24.00%,$0.72,$8.37,70.00%
NZR-891212,3/15/2024,In-Store,OH046670,West End,DN36,England,East of England,01JZ3N56DDVK7Y600QGH2M6T1X,Olive Oil,Food - Condiments,Cooking Oils,7.99,2.397,16,32.00%,$2.56,$89.49,70.00%
TDN-811093,2/29/2024,Online,FH015492,Newtown,RG20,England,East Midlands,01JZ3N53A64TW72TVK28SMMXKX,Children's Backpack,Accessories,Kids' Bags,29.99,8.997,2,9.00%,$2.70,$41.99,70.00%
MIX-746378,10/25/2024,In-Store,ZZ015342,East End,BH21,England,North West,01JZ3N572S4RVA29Y33YRWH174,Honey Butter Popcorn,Food - Snacks,Gourmet Snacks,2.99,0.897,4,1.00%,$0.03,$8.37,70.00%
UGI-201465,8/18/2024,Online,TV075977,Seaton,LE15,England,East Midlands,01JZ3N52RT7CJNB27BFS6H8BF7,Sliced Cucumbers,Food - Produce,Fresh Cut Vegetables,1.29,0.387,11,34.00%,$0.44,$9.93,70.00%
YVL-326274,12/19/2024,In-Store,HL006234,Craigavon,BT66,Northern Ireland,Yorkshire and the Humber,01JZ3N52MN6K6ZBMB2S60Y6661,Roasted Garlic Pasta Sauce,Food - Sauces,Pasta Sauces,4.99,1.497,2,36.00%,$1.80,$6.99,70.00%
NAD-339602,2/18/2024,Online,AA070185,Norton,S8,England,West Midlands,01JZ3N53JE4J6GB3N22CPWCHED,Turkey Bacon,Food - Meat,Processed Meats,3.99,1.197,11,21.00%,$0.84,$30.72,70.00%
YEK-987428,2/7/2024,In-Store,EG051605,London,WC1B,England,South East,01JZ3N52GWPC8JADTNSYW3Q2KW,Freestanding Wine Rack,Home,Home Organization,79.99,23.997,11,,$0.00,$615.92,70.00%
RWT-872441,6/18/2024,Online,UF034417,Kinloch,PH43,Scotland,North West,01JZ3N50NQCRTY15T5KFHYD594,Berries Medley,Food - Produce,Fresh Fruits,6.99,2.097,11,24.00%,$1.68,$53.82,70.00%
CPI-519592,1/23/2024,In-Store,CG060898,Halton,LS9,England,East Midlands,01JZ3N51V0YYJTCZB369CA5D23,Artisan Cornbread Mix,Food - Baking,Mixes,2.49,0.747,2,8.00%,$0.20,$3.49,70.00%
VYN-298760,9/18/2024,Online,EE025228,Manchester,M14,England,East Midlands,01JZ3N5652QADWPPWJ0PWG860E,Thai Peanut Dressing,Food - Condiments,Dressing,3.29,0.987,3,17.00%,$0.56,$6.91,70.00%
TTI-504490,4/27/2024,In-Store,CX034161,Thorpe,BD23,England,Yorkshire and the Humber,01JZ3N52VR1TCRNXP4VRZN956S,Coconut Lime Rice,Food - Sides,Grains,2.99,0.897,20,3.00%,$0.09,$41.86,70.00%
MQD-548505,11/4/2024,Online,LT073005,London,W1F,,West Midlands,01JZ3N51PJSSC4680WPA4VCNFH,Lemon Herb Quinoa,Food - Grains,Flavored Quinoa,3.49,1.047,13,11.00%,$0.38,$31.76,70.00%
INQ-887163,8/28/2024,In-Store,YL006843,Bradford,BD7,England,North West,01JZ3N5386GF97V9DCN4FSQ05Z,Almond Flour Pizza Crust,Food - Frozen Foods,Frozen Pizza Crusts,7.99,2.397,17,14.00%,$1.12,$95.08,70.00%
EPC-931737,12/23/2024,Online,YL065975,Kingston,DT10,England,East Midlands,01JZ3N51GB6BDR542KWQH4HB6P,Breathable Face Mask Set,Health,Safety & Protection,14.99,4.497,9,15.00%,$2.25,$94.44,70.00%
ZNW-604184,4/8/2024,In-Store,YC083120,Preston,PR1,England,East Midlands,01JZ3N513CABNBV3QR2YVXZ1SQ,Nutty Trail Mix,Food - Snacks,Healthy Snacks,4.29,1.287,15,24.00%,$1.03,$45.05,70.00%
MYO-440340,5/20/2024,Online,BT046086,Eaton,DN22,England,Yorkshire & the Humber,01JZ3N50R3QEBK1XYP3FC0AMBH,Window A/C Unit,Home Appliances,Cooling Appliances,299.99,89.997,8,2.00%,$6.00,"$1,679.94",70.00%
DSG-803574,4/21/2024,In-Store,WL011058,Brampton,NR34,England,London,01JZ3N5665EYQ6DZHK953CTJD3,Frozen Berry Medley,Food - Frozen Foods,Frozen Fruits,5.49,1.647,14,,$0.00,$53.80,70.00%
JYO-617315,11/21/2024,Online,XT003630,Wootton,NN4,England,Yorkshire and the Humber,01JZ3N51E8MR51C41QCMABZRME,Mini Meatballs,Food - Frozen Meals,Frozen Appetizers,5.99,1.797,8,5.00%,$0.30,$33.54,70.00%
NMH-342339,6/8/2024,In-Store,ON076441,Ford,GL54,England,North West,01JZ3N5127MA9SZ1Q03R14VSK5,Savory Quinoa Pudding,Food - Sides,Grains,2.99,0.897,7,23.00%,$0.69,$14.65,70.00%
